ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotUsingSafePoints,,Java_dev_onvoid_webrtc_media_audio_AudioDeviceModule_setRecordingDevice,,,/home/shahrukh/smellDetection/Detection/cloned projects/webrtc-java/webrtc-jni/src/main/cpp/src/JNI_AudioDeviceModule.cpp,JNI_AudioDeviceModule.cpp
CS2,NotUsingSafePoints,,Java_dev_onvoid_webrtc_media_audio_AudioDeviceModule_getPlayoutDevices,,,/home/shahrukh/smellDetection/Detection/cloned projects/webrtc-java/webrtc-jni/src/main/cpp/src/JNI_AudioDeviceModule.cpp,JNI_AudioDeviceModule.cpp
CS3,NotUsingSafePoints,,Java_dev_onvoid_webrtc_media_audio_AudioDeviceModule_setPlayoutDevice,,,/home/shahrukh/smellDetection/Detection/cloned projects/webrtc-java/webrtc-jni/src/main/cpp/src/JNI_AudioDeviceModule.cpp,JNI_AudioDeviceModule.cpp
CS4,NotUsingSafePoints,,Java_dev_onvoid_webrtc_RTCDtlsTransport_getRemoteCertificates,,,/home/shahrukh/smellDetection/Detection/cloned projects/webrtc-java/webrtc-jni/src/main/cpp/src/JNI_RTCDtlsTransport.cpp,JNI_RTCDtlsTransport.cpp
CS5,NotUsingSafePoints,,Java_dev_onvoid_webrtc_media_audio_AudioDeviceModule_getRecordingDevices,,,/home/shahrukh/smellDetection/Detection/cloned projects/webrtc-java/webrtc-jni/src/main/cpp/src/JNI_AudioDeviceModule.cpp,JNI_AudioDeviceModule.cpp
CS6,NotUsingSafePoints,,Java_dev_onvoid_webrtc_media_MediaDevices_getVideoCaptureCapabilities,,,/home/shahrukh/smellDetection/Detection/cloned projects/webrtc-java/webrtc-jni/src/main/cpp/src/JNI_MediaDevices.cpp,JNI_MediaDevices.cpp
CS7,NotUsingSafePoints,,Java_dev_onvoid_webrtc_media_video_desktop_DesktopCapturer_getDesktopSources,,,/home/shahrukh/smellDetection/Detection/cloned projects/webrtc-java/webrtc-jni/src/main/cpp/src/JNI_DesktopCapturer.cpp,JNI_DesktopCapturer.cpp
CS8,NotUsingSafePoints,,Java_dev_onvoid_webrtc_media_MediaDevices_getAudioCaptureDevices,,,/home/shahrukh/smellDetection/Detection/cloned projects/webrtc-java/webrtc-jni/src/main/cpp/src/JNI_MediaDevices.cpp,JNI_MediaDevices.cpp
CS9,NotUsingSafePoints,,Java_dev_onvoid_webrtc_media_audio_AudioProcessing_processStream,,,/home/shahrukh/smellDetection/Detection/cloned projects/webrtc-java/webrtc-jni/src/main/cpp/src/JNI_AudioProcessing.cpp,JNI_AudioProcessing.cpp
CS10,NotUsingSafePoints,,Java_dev_onvoid_webrtc_media_audio_AudioProcessing_processReverseStream,,,/home/shahrukh/smellDetection/Detection/cloned projects/webrtc-java/webrtc-jni/src/main/cpp/src/JNI_AudioProcessing.cpp,JNI_AudioProcessing.cpp
CS11,NotUsingSafePoints,,Java_dev_onvoid_webrtc_media_MediaDevices_getAudioRenderDevices,,,/home/shahrukh/smellDetection/Detection/cloned projects/webrtc-java/webrtc-jni/src/main/cpp/src/JNI_MediaDevices.cpp,JNI_MediaDevices.cpp
CS12,NotUsingSafePoints,,Java_dev_onvoid_webrtc_media_MediaDevices_getVideoCaptureDevices,,,/home/shahrukh/smellDetection/Detection/cloned projects/webrtc-java/webrtc-jni/src/main/cpp/src/JNI_MediaDevices.cpp,JNI_MediaDevices.cpp
