ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotCachingObjectsElements,"srcPos",Java_com_github_luben_zstd_ZstdInputStreamNoFinalizer_initDStream,,,F:/abidi/zstd-jni-master\src\main\native\jni_inputstream_zstd.c,jni_inputstream_zstd.c
CS2,NotCachingObjectsElements,"consumed",Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStreamNoFinalizer_initDStreamNative,,,F:/abidi/zstd-jni-master\src\main\native\jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c
CS3,NotCachingObjectsElements,"dstPos",Java_com_github_luben_zstd_ZstdInputStreamNoFinalizer_initDStream,,,F:/abidi/zstd-jni-master\src\main\native\jni_inputstream_zstd.c,jni_inputstream_zstd.c
CS4,NotCachingObjectsElements,"nativePtr",Java_com_github_luben_zstd_ZstdDictCompress_init,,,F:/abidi/zstd-jni-master\src\main\native\jni_fast_zstd.c,jni_fast_zstd.c
CS5,NotCachingObjectsElements,"nativePtr",Java_com_github_luben_zstd_ZstdDictCompress_initDirect,,,F:/abidi/zstd-jni-master\src\main\native\jni_fast_zstd.c,jni_fast_zstd.c
CS6,NotCachingObjectsElements,"srcPos",Java_com_github_luben_zstd_ZstdOutputStreamNoFinalizer_resetCStream,,,F:/abidi/zstd-jni-master\src\main\native\jni_outputstream_zstd.c,jni_outputstream_zstd.c
CS7,NotCachingObjectsElements,"nativePtr",Java_com_github_luben_zstd_ZstdDictDecompress_init,,,F:/abidi/zstd-jni-master\src\main\native\jni_fast_zstd.c,jni_fast_zstd.c
CS8,NotCachingObjectsElements,"nativePtr",Java_com_github_luben_zstd_Zstd_loadFastDictDecompress,,,F:/abidi/zstd-jni-master\src\main\native\jni_zstd.c,jni_zstd.c
CS9,NotCachingObjectsElements,"dstPos",Java_com_github_luben_zstd_ZstdOutputStreamNoFinalizer_resetCStream,,,F:/abidi/zstd-jni-master\src\main\native\jni_outputstream_zstd.c,jni_outputstream_zstd.c
CS10,NotCachingObjectsElements,"consumed",Java_com_github_luben_zstd_ZstdBufferDecompressingStreamNoFinalizer_initDStreamNative,,,F:/abidi/zstd-jni-master\src\main\native\jni_bufferdecompress_zstd.c,jni_bufferdecompress_zstd.c
CS11,NotCachingObjectsElements,"nativePtr",Java_com_github_luben_zstd_ZstdDictDecompress_initDirect,,,F:/abidi/zstd-jni-master\src\main\native\jni_fast_zstd.c,jni_fast_zstd.c
CS12,NotCachingObjectsElements,"produced",Java_com_github_luben_zstd_ZstdBufferDecompressingStreamNoFinalizer_initDStreamNative,,,F:/abidi/zstd-jni-master\src\main\native\jni_bufferdecompress_zstd.c,jni_bufferdecompress_zstd.c
CS13,NotCachingObjectsElements,"produced",Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStreamNoFinalizer_initDStreamNative,,,F:/abidi/zstd-jni-master\src\main\native\jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c
