ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,"intValue",,,,F:/abidi/jpype-master\native\common\jp_boxedtype.cpp,jp_boxedtype.cpp
CS2,NotHandlingExceptions,"java/lang/Comparable",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS3,NotHandlingExceptions,"findClass",,,,F:/abidi/jpype-master\native\common\jp_typemanager.cpp,jp_typemanager.cpp
CS4,NotHandlingExceptions,"getClass",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS5,NotHandlingExceptions,"getSystemClassLoader",,,,F:/abidi/jpype-master\native\common\jp_classloader.cpp,jp_classloader.cpp
CS6,NotHandlingExceptions,"getClass",main,,,F:/abidi/jpype-master\project\debug\windows\testJVM.cpp,testJVM.cpp
CS7,NotHandlingExceptions,"callMethod",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS8,NotHandlingExceptions,"hashCode",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS9,NotHandlingExceptions,"JPJavaFrame::GetStaticFieldID",JPJavaFrame::GetStaticFieldID,,,F:/abidi/jpype-master\native\common\jp_javaframe.cpp,jp_javaframe.cpp
CS10,NotHandlingExceptions,"hashCode",main,,,F:/abidi/jpype-master\project\debug\windows\testJVM.cpp,testJVM.cpp
CS11,NotHandlingExceptions,"java/net/URLClassLoader",,,,F:/abidi/jpype-master\native\common\jp_classloader.cpp,jp_classloader.cpp
CS12,NotHandlingExceptions,"newProxy",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS13,NotHandlingExceptions,"java/lang/ClassLoader",,,,F:/abidi/jpype-master\native\common\jp_classloader.cpp,jp_classloader.cpp
CS14,NotHandlingExceptions,"toString",main,,,F:/abidi/jpype-master\project\debug\windows\testJVM.cpp,testJVM.cpp
CS15,NotHandlingExceptions,"getInvocationHandler",,,,F:/abidi/jpype-master\native\common\jp_proxy.cpp,jp_proxy.cpp
CS16,NotHandlingExceptions,"toURI",toURL,,,F:/abidi/jpype-master\native\common\jp_classloader.cpp,jp_classloader.cpp
CS17,NotHandlingExceptions,frame,,,,F:/abidi/jpype-master\native\common\jp_classloader.cpp,jp_classloader.cpp
CS18,NotHandlingExceptions,"JPJavaFrame::FindClass",JPJavaFrame::FindClass,,,F:/abidi/jpype-master\native\common\jp_javaframe.cpp,jp_javaframe.cpp
CS19,NotHandlingExceptions,"java/lang/Object",main,,,F:/abidi/jpype-master\project\debug\windows\testJVM.cpp,testJVM.cpp
CS20,NotHandlingExceptions,jclass,JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS21,NotHandlingExceptions,"getExcClass",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS22,NotHandlingExceptions,"JPJavaFrame::GetStaticMethodID",JPJavaFrame::GetStaticMethodID,,,F:/abidi/jpype-master\native\common\jp_javaframe.cpp,jp_javaframe.cpp
CS23,NotHandlingExceptions,"<init>",toURL,,,F:/abidi/jpype-master\native\common\jp_classloader.cpp,jp_classloader.cpp
CS24,NotHandlingExceptions,"newInstance",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS25,NotHandlingExceptions,"order",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS26,NotHandlingExceptions,"createContext",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS27,NotHandlingExceptions,"getExcValue",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS28,NotHandlingExceptions,"equals",main,,,F:/abidi/jpype-master\project\debug\windows\testJVM.cpp,testJVM.cpp
CS29,NotHandlingExceptions,"newWrapper",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS30,NotHandlingExceptions,"java/lang/System",JPGarbageCollection::init,,,F:/abidi/jpype-master\native\common\jp_gc.cpp,jp_gc.cpp
CS31,NotHandlingExceptions,"compareTo",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS32,NotHandlingExceptions,"charValue",,,,F:/abidi/jpype-master\native\common\jp_boxedtype.cpp,jp_boxedtype.cpp
CS33,NotHandlingExceptions,"getObject",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS34,NotHandlingExceptions,"equals",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS35,NotHandlingExceptions,"floatValue",,,,F:/abidi/jpype-master\native\common\jp_boxedtype.cpp,jp_boxedtype.cpp
CS36,NotHandlingExceptions,"java/lang/Object",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS37,NotHandlingExceptions,"getMessage",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS38,NotHandlingExceptions,"createException",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS39,NotHandlingExceptions,"assemble",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS40,NotHandlingExceptions,"gc",JPGarbageCollection::init,,,F:/abidi/jpype-master\native\common\jp_gc.cpp,jp_gc.cpp
CS41,NotHandlingExceptions,"JPJavaFrame::GetFieldID",JPJavaFrame::GetFieldID,,,F:/abidi/jpype-master\native\common\jp_javaframe.cpp,jp_javaframe.cpp
CS42,NotHandlingExceptions,"JPJavaFrame::GetMethodID",JPJavaFrame::GetMethodID,,,F:/abidi/jpype-master\native\common\jp_javaframe.cpp,jp_javaframe.cpp
CS43,NotHandlingExceptions,"doubleValue",,,,F:/abidi/jpype-master\native\common\jp_boxedtype.cpp,jp_boxedtype.cpp
CS44,NotHandlingExceptions,"collectRectangular",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS45,NotHandlingExceptions,"findClassForObject",,,,F:/abidi/jpype-master\native\common\jp_typemanager.cpp,jp_typemanager.cpp
CS46,NotHandlingExceptions,"java/lang/String",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS47,NotHandlingExceptions,"instance",,,,F:/abidi/jpype-master\native\common\jp_proxy.cpp,jp_proxy.cpp
CS48,NotHandlingExceptions,"getStackTrace",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS49,NotHandlingExceptions,"toCharArray",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS50,NotHandlingExceptions,"longValue",,,,F:/abidi/jpype-master\native\common\jp_boxedtype.cpp,jp_boxedtype.cpp
CS51,NotHandlingExceptions,"java/io/File",toURL,,,F:/abidi/jpype-master\native\common\jp_classloader.cpp,jp_classloader.cpp
CS52,NotHandlingExceptions,"toURL",toURL,,,F:/abidi/jpype-master\native\common\jp_classloader.cpp,jp_classloader.cpp
CS53,NotHandlingExceptions,"isReadOnly",JPContext::initializeResources,,,F:/abidi/jpype-master\native\common\jp_context.cpp,jp_context.cpp
CS54,NotHandlingExceptions,"<init>",,,,F:/abidi/jpype-master\native\common\jp_boxedtype.cpp,jp_boxedtype.cpp
