ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,"<init>",Java_com_github_luben_zstd_ZstdCompressCtx_getFrameProgression0,,,F:/abidi/zstd-jni-master\src\main\native\jni_fast_zstd.c,jni_fast_zstd.c
CS2,NotHandlingExceptions,"consumed",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStreamNoFinalizer_initCStreamWithFastDict,,,F:/abidi/zstd-jni-master\src\main\native\jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS3,NotHandlingExceptions,"nativePtr",Java_com_github_luben_zstd_ZstdDictDecompress_init,,,F:/abidi/zstd-jni-master\src\main\native\jni_fast_zstd.c,jni_fast_zstd.c
CS4,NotHandlingExceptions,"produced",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStreamNoFinalizer_initCStreamWithFastDict,,,F:/abidi/zstd-jni-master\src\main\native\jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS5,NotHandlingExceptions,"nativePtr",Java_com_github_luben_zstd_Zstd_loadFastDictDecompress,,,F:/abidi/zstd-jni-master\src\main\native\jni_zstd.c,jni_zstd.c
CS6,NotHandlingExceptions,"consumed",Java_com_github_luben_zstd_ZstdBufferDecompressingStreamNoFinalizer_initDStreamNative,,,F:/abidi/zstd-jni-master\src\main\native\jni_bufferdecompress_zstd.c,jni_bufferdecompress_zstd.c
CS7,NotHandlingExceptions,"nativePtr",Java_com_github_luben_zstd_ZstdDictDecompress_initDirect,,,F:/abidi/zstd-jni-master\src\main\native\jni_fast_zstd.c,jni_fast_zstd.c
CS8,NotHandlingExceptions,"produced",Java_com_github_luben_zstd_ZstdBufferDecompressingStreamNoFinalizer_initDStreamNative,,,F:/abidi/zstd-jni-master\src\main\native\jni_bufferdecompress_zstd.c,jni_bufferdecompress_zstd.c
CS9,NotHandlingExceptions,"Ljava/lang/OutOfMemoryError;",Java_com_github_luben_zstd_Zstd_trainFromBufferDirect0,,,F:/abidi/zstd-jni-master\src\main\native\jni_zdict.c,jni_zdict.c
CS10,NotHandlingExceptions,"nativePtr",Java_com_github_luben_zstd_Zstd_loadFastDictCompress,,,F:/abidi/zstd-jni-master\src\main\native\jni_zstd.c,jni_zstd.c
CS11,NotHandlingExceptions,"srcPos",Java_com_github_luben_zstd_ZstdInputStreamNoFinalizer_initDStream,,,F:/abidi/zstd-jni-master\src\main\native\jni_inputstream_zstd.c,jni_inputstream_zstd.c
CS12,NotHandlingExceptions,"consumed",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStreamNoFinalizer_initCStream,,,F:/abidi/zstd-jni-master\src\main\native\jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS13,NotHandlingExceptions,"Ljava/lang/OutOfMemoryError;",Java_com_github_luben_zstd_Zstd_trainFromBuffer0,,,F:/abidi/zstd-jni-master\src\main\native\jni_zdict.c,jni_zdict.c
CS14,NotHandlingExceptions,"produced",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStreamNoFinalizer_initCStreamWithDict,,,F:/abidi/zstd-jni-master\src\main\native\jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
