ID,Name,Variable,Method,Class,Package,File,File Name
AP73,TooMuchScatteringDetectio,,,EmailPasswordAuthImpl,io.realm.mongodb,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/mongodb/EmailPasswordAuthImpl.java,
AP74,TooMuchScatteringDetectio,,,OsCollectionChangeSet,io.realm.internal,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/main/java/io/realm/internal/OsCollectionChangeSet.java,
AP75,TooMuchScatteringDetectio,,,OsMapChangeSet,io.realm.internal,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/main/java/io/realm/internal/OsMapChangeSet.java,
AP76,TooMuchScatteringDetectio,,,OsMongoDatabase,io.realm.internal.objectstore,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/internal/objectstore/OsMongoDatabase.java,
AP77,TooMuchScatteringDetectio,,,OsSchemaInfo,io.realm.internal,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/main/java/io/realm/internal/OsSchemaInfo.java,
AP78,TooMuchScatteringDetectio,,,OsAsyncOpenTask,io.realm.internal.objectstore,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/internal/objectstore/OsAsyncOpenTask.java,
AP79,TooMuchScatteringDetectio,,,ApiKeyAuthImpl,io.realm.mongodb,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/mongodb/ApiKeyAuthImpl.java,
AP80,TooMuchScatteringDetectio,,,NativeObjectReference,io.realm.internal,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/main/java/io/realm/internal/NativeObjectReference.java,
AP81,TooMuchScatteringDetectio,,,FindIterable<ResultT>,io.realm.mongodb.mongo.iterable,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/mongodb/mongo/iterable/FindIterable.java,
AP82,TooMuchScatteringDetectio,,,AggregateIterable<ResultT>,io.realm.mongodb.mongo.iterable,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/mongodb/mongo/iterable/AggregateIterable.java,
AP83,TooMuchScatteringDetectio,,,OsMongoClient,io.realm.internal.objectstore,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/internal/objectstore/OsMongoClient.java,
AP84,TooMuchScatteringDetectio,,,Sync,io.realm.mongodb.sync,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/mongodb/sync/Sync.java,
AP85,TooMuchScatteringDetectio,,,TestUtil,io.realm.internal,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/main/java/io/realm/internal/TestUtil.java,
AP86,TooMuchScatteringDetectio,,,OsPush,io.realm.internal.objectstore,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/internal/objectstore/OsPush.java,
AP87,TooMuchScatteringDetectio,,,OsJavaNetworkTransport,io.realm.internal.objectstore,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/internal/objectstore/OsJavaNetworkTransport.java,
AP88,TooMuchScatteringDetectio,,,OsAppCredentials,io.realm.internal.objectstore,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/internal/objectstore/OsAppCredentials.java,
AP89,TooMuchScatteringDetectio,,,FunctionsImpl,io.realm.mongodb,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/mongodb/FunctionsImpl.java,
AP90,TooMuchScatteringDetectio,,,ClientResetRequiredError,io.realm.mongodb.sync,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/mongodb/sync/ClientResetRequiredError.java,
AP91,TooMuchScatteringDetectio,,,Util,io.realm.internal,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/main/java/io/realm/internal/Util.java,
AP92,TooMuchScatteringDetectio,,,OsKeyPathMapping,io.realm.internal.objectstore,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/main/java/io/realm/internal/objectstore/OsKeyPathMapping.java,
AP93,TooMuchScatteringDetectio,,,User,io.realm.mongodb,/home/shahrukh/smellDetection/Detection/projects/abidi/realm-java-main/realm/realm-library/src/objectServer/java/io/realm/mongodb/User.java,
