ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedDeclarationDetectio,,trimMemory,Pointer,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\main\java\org\bytedeco\javacpp\Pointer.java,Pointer.java
CS2,UnusedDeclarationDetectio,,testStdU16String,AdapterTest,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java
CS3,UnusedDeclarationDetectio,,putChar,BytePointer,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\main\java\org\bytedeco\javacpp\BytePointer.java,BytePointer.java
CS4,UnusedDeclarationDetectio,,fetchSharedData,AdapterTest,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java
CS5,UnusedDeclarationDetectio,,callback,Callback,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\test\java\org\bytedeco\javacpp\ThreadTest.java,ThreadTest.java
CS6,UnusedDeclarationDetectio,,createUniqueData,AdapterTest,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java
CS7,UnusedDeclarationDetectio,,storeSharedData,AdapterTest,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java
CS8,UnusedDeclarationDetectio,,bufferCallback,BufferTest,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\test\java\org\bytedeco\javacpp\BufferTest.java,BufferTest.java
CS9,UnusedDeclarationDetectio,,memset,Pointer,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\main\java\org\bytedeco\javacpp\Pointer.java,Pointer.java
CS10,UnusedDeclarationDetectio,,strncmp,BytePointer,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\main\java\org\bytedeco\javacpp\BytePointer.java,BytePointer.java
CS11,UnusedDeclarationDetectio,,memcpy,Pointer,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\main\java\org\bytedeco\javacpp\Pointer.java,Pointer.java
CS12,UnusedDeclarationDetectio,,putBool,BytePointer,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\main\java\org\bytedeco\javacpp\BytePointer.java,BytePointer.java
CS13,UnusedDeclarationDetectio,,value,IntValue,org.bytedeco.javacpp.test.osgi,F:/abidi/javacpp-master\src\it\osgi\src\main\java\org\bytedeco\javacpp\test\osgi\Calc.java,Calc.java
CS14,UnusedDeclarationDetectio,,getJavaVM,Loader,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\main\java\org\bytedeco\javacpp\Loader.java,Loader.java
CS15,UnusedDeclarationDetectio,,Int2Long,EnumTest,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\test\java\org\bytedeco\javacpp\EnumTest.java,EnumTest.java
CS16,UnusedDeclarationDetectio,,getInt,BytePointer,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\main\java\org\bytedeco\javacpp\BytePointer.java,BytePointer.java
CS17,UnusedDeclarationDetectio,,totalProcessors,Loader,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\main\java\org\bytedeco\javacpp\Loader.java,Loader.java
CS18,UnusedDeclarationDetectio,,realloc,Pointer,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\main\java\org\bytedeco\javacpp\Pointer.java,Pointer.java
CS19,UnusedDeclarationDetectio,,storeUniqueData,AdapterTest,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java
CS20,UnusedDeclarationDetectio,,testCharString,AdapterTest,org.bytedeco.javacpp,F:/abidi/javacpp-master\src\test\java\org\bytedeco\javacpp\AdapterTest.java,AdapterTest.java
