ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotUsingSafePoints,,Java_org_rajawali3d_rajawaliassimpbridge_Bridge_getJNImorphKeyframes,,,/home/shahrukh/smellDetection/Detection/cloned projects/RajawaliAssimpBridge/app/src/main/cpp/animationJNI.cpp,animationJNI.cpp
CS2,NotUsingSafePoints,,Java_org_rajawali3d_rajawaliassimpbridge_Bridge_getJNIvertices,,,/home/shahrukh/smellDetection/Detection/cloned projects/RajawaliAssimpBridge/app/src/main/cpp/meshJNI.cpp,meshJNI.cpp
CS3,NotUsingSafePoints,,Java_org_rajawali3d_rajawaliassimpbridge_Bridge_getJNIanimeshNormals,,,/home/shahrukh/smellDetection/Detection/cloned projects/RajawaliAssimpBridge/app/src/main/cpp/meshJNI.cpp,meshJNI.cpp
CS4,NotUsingSafePoints,,Java_org_rajawali3d_rajawaliassimpbridge_Bridge_getJNIanimeshVertices,,,/home/shahrukh/smellDetection/Detection/cloned projects/RajawaliAssimpBridge/app/src/main/cpp/meshJNI.cpp,meshJNI.cpp
CS5,NotUsingSafePoints,,Java_org_rajawali3d_rajawaliassimpbridge_Bridge_getJNItranslationKeyframes,,,/home/shahrukh/smellDetection/Detection/cloned projects/RajawaliAssimpBridge/app/src/main/cpp/animationJNI.cpp,animationJNI.cpp
CS6,NotUsingSafePoints,,Java_org_rajawali3d_rajawaliassimpbridge_Bridge_getJNIorientationKeyframes,,,/home/shahrukh/smellDetection/Detection/cloned projects/RajawaliAssimpBridge/app/src/main/cpp/animationJNI.cpp,animationJNI.cpp
CS7,NotUsingSafePoints,,Java_org_rajawali3d_rajawaliassimpbridge_Bridge_getJNIscalingKeyframes,,,/home/shahrukh/smellDetection/Detection/cloned projects/RajawaliAssimpBridge/app/src/main/cpp/animationJNI.cpp,animationJNI.cpp
CS8,NotUsingSafePoints,,Java_org_rajawali3d_rajawaliassimpbridge_Bridge_getJNImorphVertexWeights,,,/home/shahrukh/smellDetection/Detection/cloned projects/RajawaliAssimpBridge/app/src/main/cpp/animationJNI.cpp,animationJNI.cpp
CS9,NotUsingSafePoints,,Java_org_rajawali3d_rajawaliassimpbridge_Bridge_getJNIcolors,,,/home/shahrukh/smellDetection/Detection/cloned projects/RajawaliAssimpBridge/app/src/main/cpp/meshJNI.cpp,meshJNI.cpp
CS10,NotUsingSafePoints,,Java_org_rajawali3d_rajawaliassimpbridge_Bridge_getJNInormals,,,/home/shahrukh/smellDetection/Detection/cloned projects/RajawaliAssimpBridge/app/src/main/cpp/meshJNI.cpp,meshJNI.cpp
CS11,NotUsingSafePoints,,Java_org_rajawali3d_rajawaliassimpbridge_Bridge_getJNIindices,,,/home/shahrukh/smellDetection/Detection/cloned projects/RajawaliAssimpBridge/app/src/main/cpp/meshJNI.cpp,meshJNI.cpp
CS12,NotUsingSafePoints,,Java_org_rajawali3d_rajawaliassimpbridge_Bridge_getJNItextureCoords,,,/home/shahrukh/smellDetection/Detection/cloned projects/RajawaliAssimpBridge/app/src/main/cpp/meshJNI.cpp,meshJNI.cpp
